title_name,title_english,url,score_label,description,episodes,aired,premiered,genres
Binan Koukou Chikyuu Bouei-bu LOVE! LOVE! LOVE!,Cute High Earth Defense Club LOVE! LOVE! LOVE!,https://myanimelist.net/anime/35182/Binan_Koukou_Chikyuu_Bouei-bu_LOVE_LOVE_LOVE,6.81,The older boys are graduating school and recount their memories together. The next day everyone defends the graduation ceremony against Zundar and Dadacha's Second Button Monster but Yumoto struggles using his love power.,1,"Aug 26, 2017",,"['Comedy', 'Parody', 'School']"
Black★Rock Shooter (TV),Black Rock Shooter,https://myanimelist.net/anime/11285/Black★Rock_Shooter_TV,6.81,"On the first day of junior high school, Mato Kuroi happens to run into Yomi Takanashi, a shy, withdrawn girl whom she immediately takes an interest in. Mato tries her best to make conversation with Yomi, wanting to befriend her. At first, she is avoided, but the ice breaks when Yomi happens to notice a decorative blue bird attached to Mato's phone, which is from the book ""Li'l Birds At Play."" Discovering they have a common interest, the two form a strong friendship.

In an alternate universe, the young girls exist as parallel beings, Mato as Black★Rock Shooter, and Yomi as Dead Master. Somehow, what happens in one world seems to have an effect on the other, and unaware of this fact, the girls unknowingly become entangled by the threads of fate.

[Written by MAL Rewrite]",8,"Feb 3, 2012 to Mar 23, 2012",Winter 2012,"['Action', 'Drama', 'Fantasy', 'School', 'Super Power']"
Captain Tsubasa: Sekai Daikessen!! Jr. World Cup,,https://myanimelist.net/anime/2121/Captain_Tsubasa__Sekai_Daikessen_Jr_World_Cup,6.81,"In the fourth movie, the classical Japan-Europe match becomes intercontinental. This time they arrange a world cup with 4 teams: Japan, USA, ""All Europe"", and ""All South America"". In the first match, Japan easily defeats the USA 3:0 and in the second match Europe loses 2:3 against South America. In the final round S.A. shows their ""soccer cyborg"" Carlos Santana, a more than supreme player who seems to be undefeatable. All their classical tricks like Hyugas ""Tiger Shot"" or Tsubasas ""Top Spin"" seem to be totally worthless, but in a hard and spectacular match the Japanese learn more and more to play in unison and finally they get the win.

(Source: ANN)",1,"Jul 12, 1986",,"['Sports', 'Team Sports', 'Shounen']"
Chou Robot Seimeitai Transformers Micron Densetsu,Transformers Armada,https://myanimelist.net/anime/1675/Chou_Robot_Seimeitai_Transformers_Micron_Densetsu,6.81,"On the mechanical planet of Cybertron live super robotic organisms known as Transformers. There, mainly consisting of convoys, the Cybertron army, and their old enemy Destron fell into conflict to gain hold of a new power to join their side. A new breed of Transformers known as the Microns. But, grieving over the battle the Microns set off to the other end of the universe. 4 million years later, on Earth, 3 young children activated a mysterious panel inside a cave. And somehow, that was the dormant Micron...",52,"Jan 10, 2003 to Dec 26, 2003",Winter 2003,"['Action', 'Sci-Fi', 'Mecha']"
Crayon Shin-chan Movie 30: Mononoke Ninja Chinpuuden,,https://myanimelist.net/anime/50562/Crayon_Shin-chan_Movie_30__Mononoke_Ninja_Chinpuuden,6.81,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,1,"Apr 22, 2022",,"['Adventure', 'Comedy', 'Seinen']"
Fate/kaleid liner Prisma☆Illya 2wei! Specials,Fate/Kaleid Liner Prisma Illya 2Wei! Shorts,https://myanimelist.net/anime/25011/Fate_kaleid_liner_Prisma☆Illya_2wei_Specials,6.81,Short specials included with the Blu-ray/DVD releases of the TV series.,5,"Sep 26, 2014 to Jan 30, 2015",,"['Comedy', 'Fantasy', 'Ecchi', 'Mahou Shoujo']"
Fushigi Yuugi: Eikouden,Mysterious Play: Eikoden,https://myanimelist.net/anime/124/Fushigi_Yuugi__Eikouden,6.81,"After years of hardships interfered with their love, Miaka Yuuki and Taka Sukunami are finally married and expecting a baby—the pinnacle of their unbreakable bond. Unfortunately, not everyone rejoices alongside the blessed couple. Mayo Sakaki, one of Taka's students, has a crush on him and cannot bear witnessing the pair's flourishing relationship.

Upon discovering The Universe of the Four Gods, Mayo learns that the old book is where Miaka and Taka first met as the priestess of the god Suzaku and the god's Celestial Warrior Tamahome. Unscrupulous about destroying a happy family, Mayo readily ventures inside with hopes of becoming the new priestess of Suzaku and rewriting the story to her advantage.

Meanwhile, her actions do not delay to show devastating effects. Leaving an unconscious Miaka at the hospital, Taka must follow Mayo to The Universe of the Four Gods and stop her before the circumstances worsen for his wife and their unborn child.

[Written by MAL Rewrite]",4,"Dec 21, 2001 to Jun 25, 2002",,"['Adventure', 'Drama', 'Fantasy', 'Romance', 'Isekai', 'Shoujo']"
Gakusen Toshi Asterisk,The Asterisk War,https://myanimelist.net/anime/30544/Gakusen_Toshi_Asterisk,6.81,"In the previous century, an unprecedented disaster known as the Invertia drastically reformed the world. The powers of existing nations declined significantly, paving the way for a conglomerate called the Integrated Empire Foundation to assume control. But more importantly, the Invertia led to the emergence of a new species of humans who are born with phenomenal physical capabilities—the Genestella. Its elite are hand-picked across the globe to attend the top six schools, and they duel amongst themselves in entertainment battles called Festas.

Ayato Amagiri is a scholarship transfer student at the prestigious Seidoukan Academy, which has recently been suffering from declining performances. Through a series of events, he accidentally sees the popular Witch of Resplendent Flames, Julis-Alexia von Riessfeld, half-dressed! Enraged, Julis challenges him to a duel for intruding on her privacy. After said duel is voided by the student council president, Ayato reveals that he has no interest in Festas. Instead, he has enrolled in the academy to investigate the whereabouts of his missing elder sister. But when a more devious plot unravels, Ayato sets out to achieve victory, while being surrounded by some of the most talented Genestella on the planet.

[Written by MAL Rewrite]",12,"Oct 3, 2015 to Dec 19, 2015",Fall 2015,"['Action', 'Comedy', 'Fantasy', 'Romance', 'Sci-Fi', 'Ecchi', 'Harem', 'School']"
gdgd Fairies,,https://myanimelist.net/anime/11809/gdgd_Fairies,6.80,"Pikupiku, Shirushiru, and Korokoro are three fairies that live on a floating island. Whether they're chatting about the weird things they encounter in their daily lives, goofing off in the enchanted ""Room of Light and Magic,"" or gazing into their looking pool that shows bizarre worlds, the fairies are always having fun in whatever way they can.

[Written by MAL Rewrite]",12,"Oct 13, 2011 to Dec 29, 2011",Fall 2011,['Comedy']
Girls & Panzer Heartful Tank Disc: Fushou Akiyama Yukari no Sensha Kouza,,https://myanimelist.net/anime/29853/Girls___Panzer_Heartful_Tank_Disc__Fushou_Akiyama_Yukari_no_Sensha_Kouza,6.81,"Girls & Panzer specials with Yukari Akiyama included on the ""Heartful Tank Disc.""",1,"Sep 25, 2013",,"['Military', 'School']"
